key,value,name
natural,wood,wood
natural,tree,tree
natural,scrub,scrub
natural,shrubbery,shrubbery
natural,heath,heath
natural,moor,moor
natural,grassland,grassland
natural,fell,fell
natural,tundra,tundra
natural,scree,scree
natural,shingle,shingle
natural,sand,sand
natural,mud,mud
natural,wetland,wetland
natural,glacier,glacier
natural,bay,bay
natural,strait,strait
natural,beach,beach
natural,coastline,coastline
natural,reef,reef
natural,geyser,geyser
natural,fumarole,fumarole
natural,peak,peak
natural,dune,dune
natural,hill,hill
natural,volcano,volcano
natural,valley,valley
natural,ridge,ridge
natural,arete,arete
natural,cliff,cliff
natural,saddle,saddle
natural,isthumus,isthumus
natural,peninsula,peninsula
natural,rock,rock
natural,cave_entrance,cave
natural,arch,arch
landuse,allotments,allotments
landuse,farmland,farmland
landuse,farmyard,farmyard
landuse,forest,forest
landuse,flowerbed,flowerbed
landuse,meadow,meadow
landuse,orchard,orchard
landuse,vineyard,vineyard
landuse,basin,basin
landuse,reservoir,reservoir
landuse,grass,grass
landuse,greenfield,greenfield
landuse,landfill,landfill
place,city,city
place,suburb,suburb
place,town,town
place,village,village
place,hamlet,hamlet
place,farm,farm
place,island,island
place,islet,islet
water,lake,lake
water,river,river
water,lagoon,lagoon
water,stream,stream
water,reservior,reservior
water,canal,canal
water,moat,moat
water,ditch,ditch
natural,*,bush
